,game_id,home_team_id,visitor_team_id,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,date,total1,hit_over
0,21200014,1610612759,1610612760,86.0,0.4429999999999999,0.688,0.263,27.0,39.0,84.0,0.377,0.826,0.412,18.0,48.0,2012-11-01,204.0,0
10,21200015,1610612766,1610612754,90.0,0.365,0.875,0.368,18.0,41.0,89.0,0.3979999999999999,0.593,0.2689999999999999,19.0,52.0,2012-11-02,183.0,0
20,21200016,1610612753,1610612743,102.0,0.488,0.722,0.3329999999999999,24.0,46.0,89.0,0.381,0.667,0.2689999999999999,22.0,45.0,2012-11-02,198.0,0
30,21200018,1610612737,1610612745,102.0,0.471,0.882,0.318,23.0,36.0,109.0,0.422,0.862,0.267,22.0,58.0,2012-11-02,203.0,1
40,21200019,1610612739,1610612741,86.0,0.405,0.519,0.4,23.0,33.0,115.0,0.638,0.767,0.4,34.0,41.0,2012-11-02,183.5,1
50,21200020,1610612752,1610612748,104.0,0.429,0.867,0.528,27.0,41.0,84.0,0.465,0.846,0.35,18.0,41.0,2012-11-02,198.5,0
60,21200017,1610612738,1610612749,88.0,0.446,0.81,0.357,22.0,36.0,99.0,0.465,0.917,0.444,26.0,46.0,2012-11-02,196.0,0
70,21200022,1610612760,1610612757,106.0,0.513,0.7190000000000001,0.556,18.0,47.0,92.0,0.36,0.792,0.346,17.0,44.0,2012-11-02,204.5,0
80,21200023,1610612750,1610612758,92.0,0.368,0.722,0.118,17.0,53.0,80.0,0.36,0.813,0.188,17.0,43.0,2012-11-02,194.5,0
90,21200024,1610612756,1610612765,92.0,0.435,0.7140000000000001,0.182,15.0,52.0,89.0,0.411,0.579,0.308,20.0,39.0,2012-11-02,195.0,0
100,21200025,1610612747,1610612746,95.0,0.5,0.7140000000000001,0.4379999999999999,15.0,38.0,105.0,0.452,0.778,0.364,24.0,37.0,2012-11-02,192.0,1
110,21200026,1610612744,1610612763,94.0,0.45,0.706,0.5,21.0,36.0,104.0,0.455,0.8240000000000001,0.462,22.0,40.0,2012-11-02,191.5,1
120,21200021,1610612740,1610612762,88.0,0.457,0.643,0.357,23.0,42.0,86.0,0.412,0.5,0.357,19.0,44.0,2012-11-02,191.0,0
130,21200027,1610612764,1610612738,86.0,0.436,0.706,0.3,20.0,46.0,89.0,0.429,0.6920000000000001,0.381,24.0,35.0,2012-11-03,191.0,0
140,21200028,1610612754,1610612758,106.0,0.3939999999999999,0.889,0.182,16.0,67.0,98.0,0.363,0.8,0.364,19.0,47.0,2012-11-03,189.0,1
150,21200029,1610612751,1610612761,107.0,0.457,0.73,0.4,20.0,41.0,100.0,0.451,0.76,0.389,23.0,37.0,2012-11-03,194.0,1
160,21200030,1610612748,1610612743,119.0,0.518,0.852,0.4,26.0,32.0,116.0,0.516,0.65,0.238,13.0,47.0,2012-11-03,199.0,1
170,21200031,1610612741,1610612740,82.0,0.33,0.84,0.176,21.0,41.0,89.0,0.4270000000000001,0.87,0.278,13.0,44.0,2012-11-03,181.5,0
180,21200034,1610612742,1610612766,126.0,0.613,0.8,0.64,31.0,43.0,99.0,0.429,0.75,0.176,19.0,38.0,2012-11-03,187.0,1
190,21200033,1610612749,1610612739,105.0,0.519,0.667,0.375,32.0,37.0,102.0,0.47,0.621,0.375,19.0,42.0,2012-11-03,198.0,1
200,21200035,1610612759,1610612762,110.0,0.568,0.826,0.5379999999999999,29.0,33.0,100.0,0.494,0.8640000000000001,0.385,17.0,32.0,2012-11-03,201.5,1
210,21200036,1610612746,1610612744,110.0,0.429,0.769,0.476,21.0,33.0,114.0,0.488,0.718,0.25,22.0,48.0,2012-11-03,197.5,1
220,21200032,1610612745,1610612757,85.0,0.354,0.667,0.192,19.0,56.0,95.0,0.419,0.583,0.417,28.0,53.0,2012-11-03,206.0,0
230,21200038,1610612761,1610612750,105.0,0.444,0.882,0.476,18.0,39.0,86.0,0.4529999999999999,0.71,0.375,18.0,36.0,2012-11-04,189.0,1
240,21200039,1610612753,1610612756,115.0,0.489,0.8420000000000001,0.818,26.0,46.0,94.0,0.429,0.611,0.263,19.0,45.0,2012-11-04,193.0,1
250,21200037,1610612752,1610612755,100.0,0.506,0.611,0.407,18.0,39.0,84.0,0.43,0.8,0.471,14.0,41.0,2012-11-04,187.0,0
260,21200041,1610612747,1610612765,108.0,0.519,0.6920000000000001,0.455,27.0,46.0,79.0,0.354,0.826,0.308,19.0,33.0,2012-11-04,190.0,0
270,21200040,1610612760,1610612737,95.0,0.465,0.909,0.409,27.0,37.0,104.0,0.494,0.7,0.32,20.0,38.0,2012-11-04,198.5,1
280,21200043,1610612751,1610612750,96.0,0.479,0.722,0.565,24.0,29.0,107.0,0.5,0.8,0.35,30.0,45.0,2012-11-05,194.0,1
290,21200044,1610612748,1610612756,124.0,0.547,0.789,0.5770000000000001,33.0,49.0,99.0,0.3979999999999999,0.759,0.3329999999999999,22.0,38.0,2012-11-05,202.5,1
300,21200045,1610612763,1610612762,103.0,0.418,0.88,0.357,21.0,51.0,94.0,0.444,0.6920000000000001,0.3329999999999999,20.0,42.0,2012-11-05,195.5,1
310,21200042,1610612755,1610612752,88.0,0.337,0.846,0.364,19.0,54.0,110.0,0.4639999999999999,1.0,0.406,24.0,44.0,2012-11-05,184.0,1
320,21200047,1610612759,1610612754,101.0,0.471,0.846,0.444,25.0,45.0,79.0,0.342,0.8640000000000001,0.3,11.0,48.0,2012-11-05,193.5,0
330,21200048,1610612758,1610612744,94.0,0.457,0.696,0.211,13.0,43.0,92.0,0.397,0.857,0.286,21.0,38.0,2012-11-05,198.0,0
340,21200049,1610612746,1610612739,101.0,0.527,0.875,0.36,23.0,38.0,108.0,0.435,0.636,0.483,24.0,43.0,2012-11-05,199.5,1
350,21200046,1610612742,1610612757,114.0,0.615,0.615,0.5,29.0,37.0,91.0,0.387,0.778,0.2269999999999999,13.0,48.0,2012-11-05,198.0,1
360,21200052,1610612743,1610612765,109.0,0.446,0.773,0.3329999999999999,23.0,52.0,97.0,0.449,0.84,0.5,26.0,35.0,2012-11-06,199.5,1
