GAME_DATE_EST,HOME_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_ID,NICKNAME
2022-12-22,1610612740,2022,126.0,0.484,0.926,0.382,25.0,46.0,1610612759,117.0,0.478,0.815,0.321,23.0,44.0,1,1610612740,Pelicans
2022-12-19,1610612740,2022,119.0,0.424,0.708,0.4,30.0,44.0,1610612749,128.0,0.556,0.806,0.325,26.0,44.0,0,1610612740,Pelicans
2022-12-11,1610612740,2022,129.0,0.581,0.75,0.32,31.0,43.0,1610612756,124.0,0.467,0.765,0.342,34.0,42.0,1,1610612740,Pelicans
2022-12-09,1610612740,2022,128.0,0.511,0.8,0.296,27.0,44.0,1610612756,117.0,0.5,0.692,0.5,30.0,37.0,1,1610612740,Pelicans
2022-12-07,1610612740,2022,104.0,0.459,0.783,0.296,21.0,50.0,1610612765,98.0,0.389,0.813,0.357,17.0,42.0,1,1610612740,Pelicans
2022-12-04,1610612740,2022,121.0,0.506,0.778,0.423,29.0,36.0,1610612743,106.0,0.506,0.667,0.258,24.0,43.0,1,1610612740,Pelicans
2022-11-30,1610612740,2022,126.0,0.523,0.846,0.424,28.0,52.0,1610612761,108.0,0.477,0.684,0.289,29.0,30.0,1,1610612740,Pelicans
2022-11-28,1610612740,2022,105.0,0.448,0.9,0.281,21.0,49.0,1610612760,101.0,0.37,0.913,0.316,16.0,47.0,1,1610612740,Pelicans
2022-11-21,1610612740,2022,128.0,0.538,0.714,0.357,30.0,50.0,1610612744,83.0,0.378,0.895,0.233,17.0,34.0,1,1610612740,Pelicans
2022-11-18,1610612740,2022,109.0,0.494,0.769,0.371,24.0,37.0,1610612738,117.0,0.482,0.882,0.435,28.0,46.0,0,1610612740,Pelicans
2022-11-16,1610612740,2022,124.0,0.506,0.875,0.515,30.0,46.0,1610612741,110.0,0.494,0.647,0.344,25.0,37.0,1,1610612740,Pelicans
2022-11-15,1610612740,2022,113.0,0.473,0.75,0.474,31.0,43.0,1610612763,102.0,0.413,0.68,0.257,16.0,51.0,1,1610612740,Pelicans
2022-11-12,1610612740,2022,119.0,0.488,0.871,0.276,28.0,36.0,1610612745,106.0,0.506,0.778,0.333,24.0,43.0,1,1610612740,Pelicans
2022-11-10,1610612740,2022,95.0,0.418,0.792,0.357,19.0,45.0,1610612757,106.0,0.435,0.769,0.353,25.0,46.0,0,1610612740,Pelicans
2022-11-04,1610612740,2022,114.0,0.506,0.69,0.414,24.0,37.0,1610612744,105.0,0.493,0.92,0.375,23.0,29.0,1,1610612740,Pelicans
2022-10-25,1610612740,2022,113.0,0.579,0.722,0.444,25.0,26.0,1610612742,111.0,0.5,0.708,0.308,18.0,37.0,1,1610612740,Pelicans
2022-10-23,1610612740,2022,121.0,0.471,0.773,0.296,30.0,45.0,1610612762,122.0,0.439,0.821,0.342,29.0,44.0,0,1610612740,Pelicans
2022-10-14,1610612740,2022,120.0,0.484,0.783,0.357,33.0,50.0,1610612737,111.0,0.483,0.667,0.333,33.0,43.0,1,1610612740,Pelicans
2022-10-07,1610612740,2022,107.0,0.447,0.676,0.333,21.0,47.0,1610612765,101.0,0.365,0.806,0.286,22.0,45.0,1,1610612740,Pelicans
2022-04-28,1610612740,2021,109.0,0.506,0.895,0.333,25.0,36.0,1610612756,115.0,0.6,0.944,0.4,23.0,32.0,0,1610612740,Pelicans
2022-04-24,1610612740,2021,118.0,0.471,0.762,0.25,20.0,48.0,1610612756,103.0,0.506,0.667,0.259,33.0,39.0,1,1610612740,Pelicans
2022-04-22,1610612740,2021,111.0,0.481,0.774,0.344,17.0,45.0,1610612756,114.0,0.506,0.815,0.154,26.0,35.0,0,1610612740,Pelicans
2022-04-13,1610612740,2021,113.0,0.543,0.739,0.4,25.0,53.0,1610612759,103.0,0.407,0.727,0.382,19.0,34.0,1,1610612740,Pelicans
2022-04-10,1610612740,2021,107.0,0.424,0.75,0.35,24.0,42.0,1610612744,128.0,0.605,0.846,0.576,33.0,41.0,0,1610612740,Pelicans
2022-04-07,1610612740,2021,127.0,0.473,0.839,0.351,31.0,49.0,1610612757,94.0,0.522,0.846,0.355,28.0,27.0,1,1610612740,Pelicans
